"gene_id","species","expression_id","id_type","source_info","gene_name","hog_id","og_id"
"CAGL0A02321g","glabrata","CAGL0A02321g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A02365g","glabrata","CAGL0A02365g","CAGL0","original","","N1.HOG0002500","OG0002260"
"CAGL0A02387g","glabrata","CAGL0A02387g","CAGL0","original","","N1.HOG0001776","OG0001536"
"CAGL0A02409g","glabrata","CAGL0A02409g","CAGL0","original","","N1.HOG0000798","OG0000566"
"CAGL0A02431g","glabrata","CAGL0A02431g","CAGL0","original","YPS7","N1.HOG0001006","OG0000769"
"CAGL0A02475g","glabrata","CAGL0A02475g","CAGL0","original","","N1.HOG0004449","OG0004213"
"CAGL0A02486g","glabrata","CAGL0A02486g","CAGL0","original","","N1.HOG0000200","OG0000113"
"CAGL0A02508g","glabrata","CAGL0A02508g","CAGL0","original","","N1.HOG0002104","OG0001864"
"CAGL0A02530g","glabrata","CAGL0A02530g","CAGL0","original","","N1.HOG0000817","OG0000585"
"CAGL0A02552g","glabrata","CAGL0A02552g","CAGL0","original","","N1.HOG0000399","OG0000226"
"CAGL0A02574g","glabrata","CAGL0A02574g","CAGL0","original","","N1.HOG0002204","OG0001964"
"CAGL0A02596g","glabrata","CAGL0A02596g","CAGL0","original","","N1.HOG0004450","OG0004214"
"CAGL0A02618g","glabrata","CAGL0A02618g","CAGL0","original","","N1.HOG0003370","OG0003130"
"CAGL0A02629g","glabrata","CAGL0A02629g","CAGL0","original","","N1.HOG0001041","OG0000804"
"CAGL0A02651g","glabrata","CAGL0A02651g","CAGL0","original","","N1.HOG0003454","OG0003214"
"CAGL0A02673g","glabrata","CAGL0A02673g","CAGL0","original","","N1.HOG0002518","OG0002278"
"CAGL0A02695g","glabrata","CAGL0A02695g","CAGL0","original","","N1.HOG0003440","OG0003200"
"CAGL0A02706g","glabrata","CAGL0A02706g","CAGL0","original","","N1.HOG0002440","OG0002200"
"CAGL0A02728g","glabrata","CAGL0A02728g","CAGL0","original","","N1.HOG0003332","OG0003092"
"CAGL0A02750g","glabrata","CAGL0A02750g","CAGL0","original","","N1.HOG0001837","OG0001597"
"CAGL0A02772g","glabrata","CAGL0A02772g","CAGL0","original","","N1.HOG0003891","OG0003652"
"CAGL0A02794g","glabrata","CAGL0A02794g","CAGL0","original","","N1.HOG0003988","OG0003749"
"CAGL0A02816g","glabrata","CAGL0A02816g","CAGL0","original","","N1.HOG0000150","OG0000085"
