Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048235.1-28,19,816
CP048235.1-29,39,393
CP048235.1-30,81,93
CP048235.1-31,32,501
CP048235.1-32,19,817
CP048235.1-33,25,646
CP048235.1-34,53,238
CP048235.1-35,38,407
CP048235.1-36,15,934
CP048235.1-37,53,239
CP048235.1-38,9,1090
CP048235.1-39,15,935
CP048235.1-40,14,963
CP048235.1-41,25,647
CP048235.1-42,40,380
CP048235.1-43,85,83
CP048235.1-44,2,1224
CP048235.1-45,14,964
CP048235.1-46,42,348
CP048235.1-47,59,192
CP048235.1-48,50,263
CP048235.1-49,16,898
CP048235.1-50,60,184
CP048235.1-51,19,818
CP048235.1-52,9,1091
CP048235.1-53,49,280
CP048235.1-54,14,965
CP048235.1-55,42,349
CP048235.1-56,19,819
CP048235.1-57,14,966
CP048235.1-58,12,1012
CP048235.1-59,11,1041
CP048235.1-60,50,264
CP048235.1-61,34,468
CP048235.1-62,34,469
CP048235.1-63,31,517
CP048235.1-64,25,648
CP048235.1-65,6,1161
CP048235.1-66,16,899
CP048235.1-67,10,1070
CP048235.1-68,17,865
CP048235.1-69,43,337
CP048235.1-70,61,181
CP048235.1-71,12,1013
CP048235.1-72,15,936
CP048235.1-73,21,763
CP048235.1-74,38,408
CP048235.1-75,77,105
CP048235.1-76,18,836
CP048235.1-77,16,900
CP048235.1-78,11,1042
CP048235.1-79,26,619
CP048235.1-80,33,489
CP048235.1-81,29,553
CP048235.1-82,22,736
CP048235.1-83,23,707
CP048235.1-84,14,967
CP048235.1-85,10,1071
CP048235.1-86,33,490
CP048235.1-87,16,901
CP048235.1-88,52,244
CP048235.1-89,23,708
CP048235.1-90,51,253
CP048235.1-91,29,554
CP048235.1-92,20,792
CP048235.1-93,2,1225
CP048236.1-0,5,1175
CP048236.1-1,1,1237
CP048236.1-2,6,1162
CP048236.1-3,78,101
CP048236.1-4,91,67
CP048236.1-5,161,11
CP048236.1-6,29,555
CP048236.1-7,51,254
CP048236.1-8,121,37
CP048236.1-9,87,77
CP048236.1-10,32,502
CP048236.1-11,99,55
CP048236.1-12,74,116
CP048236.1-13,58,198
CP048236.1-14,37,425
CP048236.1-15,42,350
CP048236.1-16,48,290
CP048236.1-17,30,531
CP048236.1-18,15,937
CP048236.1-19,68,138
CP048236.1-20,74,117
CP048236.1-21,12,1014
CP048236.1-22,13,985
CP048236.1-23,39,394
CP048236.1-24,22,737
CP048236.1-25,24,673
CP048236.1-26,49,281
CP048236.1-27,39,395
CP048236.1-28,60,185
CP048236.1-29,41,361
CP048236.1-30,9,1092
CP048236.1-31,36,437
CP048236.1-32,27,598
CP048236.1-33,18,837
CP048236.1-34,8,1120
CP048236.1-35,31,518
CP048236.1-36,43,338
CP048236.1-37,23,709
CP048236.1-38,26,620
CP048236.1-39,57,208
CP048236.1-40,12,1015
CP048236.1-41,10,1072
CP048236.1-42,28,576
CP048236.1-43,16,902
CP048236.1-44,27,599
CP048236.1-45,10,1073
CP048236.1-46,10,1074
CP048236.1-47,94,63
CP048236.1-48,4,1194
CP048236.1-49,12,1016
CP048236.1-50,17,866
CP048236.1-51,65,155
CP048236.1-52,21,764
CP048236.1-53,32,503
CP048236.1-54,23,710
CP048236.1-55,44,322
CP048236.1-56,23,711
CP048236.1-57,50,265
CP048236.1-58,34,470
CP048236.1-59,30,532
CP048236.1-60,38,409
CP048236.1-61,4,1195
CP048236.1-62,24,674
CP048236.1-63,40,381
CP048236.1-64,46,305
CP048236.1-65,9,1093
CP048236.1-66,28,577
CP048236.1-67,16,903
CP048236.1-68,11,1043
CP048236.1-69,16,904
CP048236.1-70,52,245
CP048236.1-71,29,556
CP048236.1-72,10,1075
CP048236.1-73,34,471
CP048236.1-74,30,533
CP048236.1-75,13,986
CP048236.1-76,5,1176
CP048236.1-77,39,396
CP048236.1-78,13,987
CP048236.1-79,20,793
CP048236.1-80,5,1177
CP048236.1-81,16,905
CP048236.1-82,32,504
CP048236.1-83,21,765
CP048236.1-84,32,505
CP048236.1-85,1,1238
CP048236.1-86,36,438
CP048236.1-87,58,199
CP048236.1-88,26,621
CP048236.1-89,36,439
CP048236.1-90,17,867
CP048236.1-91,28,578
CP048236.1-92,44,323
CP048236.1-93,54,232
CP048236.1-94,23,712
CP048236.1-95,8,1121
CP048236.1-96,28,579
CP048236.1-97,8,1122
CP048236.1-98,40,382
CP048236.1-99,7,1139
CP048236.1-100,1,1239
CP048237.1-0,1,1240
CP048237.1-1,1,1241
CP048237.1-2,26,622
CP048237.1-3,38,410
CP048237.1-4,36,440
CP048237.1-5,22,738
CP048237.1-6,7,1140
CP048237.1-7,57,209
CP048237.1-8,35,451
CP048237.1-9,13,988
CP048237.1-10,13,989
CP048237.1-11,17,868
CP048237.1-12,16,906
CP048237.1-13,25,649
CP048237.1-14,30,534
CP048237.1-15,11,1044
CP048237.1-16,8,1123
CP048237.1-17,15,938
CP048237.1-18,26,623
CP048237.1-19,31,519
CP048237.1-20,16,907
CP048237.1-21,18,838
CP048237.1-22,24,675
CP048237.1-23,24,676
CP048237.1-24,45,312
CP048237.1-25,20,794
CP048237.1-26,12,1017
CP048237.1-27,11,1045
CP048237.1-28,20,795
CP048237.1-29,7,1141
CP048237.1-30,9,1094
CP048237.1-31,9,1095
CP048237.1-32,23,713
CP048237.1-33,16,908
CP048237.1-34,28,580
CP048237.1-35,29,557
CP048237.1-36,29,558
CP048237.1-37,14,968
CP048237.1-38,44,324
CP048237.1-39,49,282
CP048237.1-40,56,220
CP048237.1-41,12,1018
CP048237.1-42,17,869
CP048237.1-43,17,870
CP048237.1-44,20,796
CP048237.1-45,6,1163
CP048237.1-46,19,820
CP048237.1-47,17,871
CP048237.1-48,38,411
CP048237.1-49,25,650
CP048237.1-50,0,1252
CP048237.1-51,43,339
CP048237.1-52,15,939
CP048237.1-53,15,940
CP048237.1-54,58,200
CP048237.1-55,19,821
CP048237.1-56,6,1164
CP048237.1-57,31,520
