Standard name,Common name,Type,Lib yH298-parent-pool1
GWK60_B00561,GWK60_B00561,ORF,2
GWK60_B00583,GWK60_B00583,ORF,1
GWK60_B00605,AUT4,ORF,3
GWK60_B00627,GWK60_B00627,ORF,2
GWK60_B00649,GWK60_B00649,ORF,1
GWK60_B00671,GWK60_B00671,ORF,0
GWK60_B00693,STE50,ORF,0
GWK60_B00715,GWK60_B00715,ORF,0
GWK60_B00737,HIS4,ORF,5
GWK60_B00759,GWK60_B00759,ORF,4
GWK60_B00781,GWK60_B00781,ORF,1
GWK60_B00803,GWK60_B00803,ORF,6
GWK60_B00825,HBN1,ORF,0
GWK60_B00847,GWK60_B00847,ORF,4
GWK60_B00891,GWK60_B00891,ORF,3
GWK60_B00913,GWK60_B00913,ORF,11
GWK60_B00935,SAM1,ORF,4
GWK60_B00957,GWK60_B00957,ORF,1
GWK60_B00979,SWI6,ORF,1
GWK60_B01001,GWK60_B01001,ORF,1
GWK60_B01023,GWK60_B01023,ORF,0
GWK60_B01045,EMG1,ORF,0
GWK60_B01067,GWK60_B01067,ORF,0
GWK60_B01089,BUD5,ORF,6
GWK60_B01133,GWK60_B01133,ORF,0
GWK60_B01155,SPT20,ORF,1
GWK60_B01177,GWK60_B01177,ORF,1
GWK60_B01199,NOP8,ORF,0
GWK60_B01221,RIB4,ORF,0
GWK60_B01243,RPD3,ORF,1
GWK60_B01265,GWK60_B01265,ORF,0
GWK60_B01287,GWK60_B01287,ORF,2
GWK60_B01309,ARG8,ORF,0
GWK60_B01331,PEX7,ORF,1
GWK60_B01353,GWK60_B01353,ORF,0
GWK60_B01375,MTQ2,ORF,0
GWK60_B01397,GWK60_B01397,ORF,1
GWK60_B01419,GWK60_B01419,ORF,7
GWK60_B01441,GWK60_B01441,ORF,1
GWK60_B01463,GWK60_B01463,ORF,0
GWK60_B01507,TMN2,ORF,5
GWK60_B01529,GWK60_B01529,ORF,2
GWK60_B01551,GWK60_B01551,ORF,3
GWK60_B01573,GWK60_B01573,ORF,0
GWK60_B01595,GWK60_B01595,ORF,2
GWK60_B01617,GWK60_B01617,ORF,0
GWK60_B01639,GWK60_B01639,ORF,0
GWK60_B01661,GWK60_B01661,ORF,0
GWK60_B01683,GWK60_B01683,ORF,1
GWK60_B01705,GWK60_B01705,ORF,0
GWK60_B01727,GWK60_B01727,ORF,0
GWK60_B01749,GWK60_B01749,ORF,0
GWK60_B01771,GWK60_B01771,ORF,3
GWK60_B01793,INO2,ORF,0
GWK60_B01815,GWK60_B01815,ORF,17
GWK60_B01837,GWK60_B01837,ORF,2
