bin_start_bp	mean_reads_across_arms	n_arms
462000	345.682	22
463000	458.273	22
464000	425.773	22
465000	579.364	22
466000	162.636	22
467000	1372.18	22
468000	1292.32	22
469000	1578	22
470000	783.591	22
471000	337.182	22
472000	337.227	22
473000	1032.27	22
474000	438.545	22
475000	1862.41	22
476000	1003	22
477000	1829.68	22
478000	1136.32	22
479000	728.909	22
480000	389.636	22
481000	310.455	22
482000	561.818	22
483000	905.636	22
484000	1047.68	22
485000	582.682	22
486000	1459.64	22
487000	802.864	22
488000	1398.23	22
489000	698.364	22
490000	753.5	22
491000	342.955	22
492000	408.045	22
493000	216.909	22
494000	414	22
495000	821.955	22
496000	2166.59	22
497000	310.182	22
498000	629.955	22
499000	233.682	22
500000	517.136	22
