Bin index,combined_parent_hits.T059p7,combined_parent_hits.T059p7 rank
CP048235.1-56,8,805
CP048235.1-57,7,868
CP048235.1-58,6,930
CP048235.1-59,2,1132
CP048235.1-60,23,276
CP048235.1-61,21,313
CP048235.1-62,19,352
CP048235.1-63,11,653
CP048235.1-64,13,549
CP048235.1-65,2,1133
CP048235.1-66,8,806
CP048235.1-67,2,1134
CP048235.1-68,8,807
CP048235.1-69,28,205
CP048235.1-70,27,218
CP048235.1-71,6,931
CP048235.1-72,3,1091
CP048235.1-73,12,602
CP048235.1-74,22,300
CP048235.1-75,46,70
CP048235.1-76,11,654
CP048235.1-77,9,766
CP048235.1-78,4,1030
CP048235.1-79,8,808
CP048235.1-80,12,603
CP048235.1-81,19,353
CP048235.1-82,7,869
CP048235.1-83,13,550
CP048235.1-84,8,809
CP048235.1-85,2,1135
CP048235.1-86,17,414
CP048235.1-87,8,810
CP048235.1-88,24,256
CP048235.1-89,4,1031
CP048235.1-90,18,391
CP048235.1-91,11,655
CP048235.1-92,4,1032
CP048235.1-93,1,1187
CP048236.1-0,5,976
CP048236.1-1,0,1226
CP048236.1-2,4,1033
CP048236.1-3,41,92
CP048236.1-4,48,63
CP048236.1-5,80,17
CP048236.1-6,17,415
CP048236.1-7,29,189
CP048236.1-8,46,71
CP048236.1-9,31,168
CP048236.1-10,19,354
CP048236.1-11,58,47
CP048236.1-12,32,153
CP048236.1-13,25,244
CP048236.1-14,25,245
CP048236.1-15,16,450
CP048236.1-16,24,257
CP048236.1-17,13,551
CP048236.1-18,4,1034
CP048236.1-19,29,190
CP048236.1-20,36,120
CP048236.1-21,7,870
CP048236.1-22,8,811
CP048236.1-23,23,277
CP048236.1-24,6,932
CP048236.1-25,6,933
CP048236.1-26,12,604
CP048236.1-27,24,258
CP048236.1-28,34,138
CP048236.1-29,18,392
CP048236.1-30,0,1227
CP048236.1-31,15,480
CP048236.1-32,12,605
CP048236.1-33,8,812
CP048236.1-34,0,1228
CP048236.1-35,15,481
CP048236.1-36,22,301
CP048236.1-37,11,656
CP048236.1-38,7,871
CP048236.1-39,30,178
CP048236.1-40,5,977
CP048236.1-41,4,1035
CP048236.1-42,6,934
CP048236.1-43,8,813
CP048236.1-44,10,716
CP048236.1-45,5,978
CP048236.1-46,4,1036
CP048236.1-47,29,191
CP048236.1-48,2,1136
CP048236.1-49,5,979
CP048236.1-50,5,980
CP048236.1-51,29,192
CP048236.1-52,7,872
CP048236.1-53,9,767
CP048236.1-54,9,768
CP048236.1-55,20,332
CP048236.1-56,12,606
CP048236.1-57,21,314
CP048236.1-58,19,355
CP048236.1-59,14,516
CP048236.1-60,16,451
CP048236.1-61,3,1092
CP048236.1-62,5,981
CP048236.1-63,15,482
CP048236.1-64,19,356
CP048236.1-65,3,1093
CP048236.1-66,11,657
CP048236.1-67,6,935
CP048236.1-68,5,982
CP048236.1-69,6,936
CP048236.1-70,33,143
CP048236.1-71,8,814
CP048236.1-72,4,1037
CP048236.1-73,13,552
CP048236.1-74,11,658
CP048236.1-75,3,1094
CP048236.1-76,2,1137
CP048236.1-77,15,483
CP048236.1-78,11,659
CP048236.1-79,9,769
CP048236.1-80,3,1095
CP048236.1-81,6,937
CP048236.1-82,17,416
CP048236.1-83,14,517
CP048236.1-84,13,553
CP048236.1-85,0,1229
CP048236.1-86,11,660
CP048236.1-87,32,154
CP048236.1-88,9,770
CP048236.1-89,7,873
CP048236.1-90,6,938
CP048236.1-91,7,874
CP048236.1-92,23,278
CP048236.1-93,31,169
CP048236.1-94,9,771
CP048236.1-95,4,1038
CP048236.1-96,13,554
CP048236.1-97,0,1230
CP048236.1-98,17,417
CP048236.1-99,8,815
CP048236.1-100,1,1188
CP048237.1-0,0,1231
CP048237.1-1,0,1232
CP048237.1-2,13,555
CP048237.1-3,15,484
CP048237.1-4,6,939
CP048237.1-5,9,772
CP048237.1-6,1,1189
CP048237.1-7,45,73
CP048237.1-8,16,452
CP048237.1-9,8,816
CP048237.1-10,5,983
CP048237.1-11,6,940
CP048237.1-12,6,941
CP048237.1-13,15,485
CP048237.1-14,8,817
CP048237.1-15,2,1138
CP048237.1-16,4,1039
CP048237.1-17,8,818
CP048237.1-18,14,518
CP048237.1-19,13,556
CP048237.1-20,10,717
CP048237.1-21,11,661
CP048237.1-22,10,718
CP048237.1-23,10,719
CP048237.1-24,17,418
CP048237.1-25,11,662
CP048237.1-26,5,984
CP048237.1-27,5,985
CP048237.1-28,7,875
CP048237.1-29,0,1233
CP048237.1-30,2,1139
CP048237.1-31,5,986
CP048237.1-32,7,876
CP048237.1-33,11,663
CP048237.1-34,10,720
CP048237.1-35,17,419
CP048237.1-36,7,877
CP048237.1-37,3,1096
CP048237.1-38,19,357
CP048237.1-39,32,155
CP048237.1-40,31,170
CP048237.1-41,2,1140
CP048237.1-42,6,942
CP048237.1-43,7,878
CP048237.1-44,12,607
CP048237.1-45,2,1141
CP048237.1-46,12,608
CP048237.1-47,12,609
CP048237.1-48,9,773
CP048237.1-49,7,879
CP048237.1-50,0,1234
CP048237.1-51,15,486
CP048237.1-52,4,1040
CP048237.1-53,7,880
CP048237.1-54,31,171
CP048237.1-55,10,721
CP048237.1-56,1,1190
CP048237.1-57,17,420
CP048237.1-58,2,1142
CP048237.1-59,3,1097
CP048237.1-60,15,487
CP048237.1-61,23,279
CP048237.1-62,13,557
CP048237.1-63,9,774
CP048237.1-64,35,129
CP048237.1-65,19,358
CP048237.1-66,7,881
CP048237.1-67,16,453
CP048237.1-68,9,775
CP048237.1-69,19,359
CP048237.1-70,4,1041
CP048237.1-71,18,393
CP048237.1-72,3,1098
CP048237.1-73,42,86
CP048237.1-74,9,776
CP048237.1-75,27,219
CP048237.1-76,3,1099
CP048237.1-77,6,943
CP048237.1-78,9,777
CP048237.1-79,12,610
CP048237.1-80,8,819
CP048237.1-81,25,246
CP048237.1-82,36,121
CP048237.1-83,30,179
CP048237.1-84,11,664
CP048237.1-85,33,144
CP048237.1-86,38,109
CP048237.1-87,35,130
CP048237.1-88,28,206
CP048237.1-89,23,280
CP048237.1-90,22,302
CP048237.1-91,66,31
CP048237.1-92,36,122
CP048237.1-93,19,360
CP048237.1-94,20,333
CP048237.1-95,75,20
CP048237.1-96,26,230
CP048237.1-97,153,1
CP048237.1-98,64,37
CP048237.1-99,117,3
CP048237.1-100,19,361
CP048237.1-101,15,488
CP048237.1-102,20,334
CP048237.1-103,11,665
CP048237.1-104,23,281
CP048237.1-105,9,778
CP048238.1-0,1,1191
CP048238.1-1,0,1235
CP048238.1-2,12,611
CP048238.1-3,15,489
CP048238.1-4,45,74
CP048238.1-5,6,944
CP048238.1-6,42,87
CP048238.1-7,20,335
CP048238.1-8,13,558
CP048238.1-9,5,987
CP048238.1-10,13,559
CP048238.1-11,14,519
CP048238.1-12,17,421
CP048238.1-13,13,560
CP048238.1-14,8,820
CP048238.1-15,29,193
CP048238.1-16,13,561
CP048238.1-17,39,104
CP048238.1-18,24,259
CP048238.1-19,22,303
CP048238.1-20,10,722
CP048238.1-21,2,1143
CP048238.1-22,6,945
CP048238.1-23,3,1100
CP048238.1-24,7,882
CP048238.1-25,14,520
CP048238.1-26,12,612
CP048238.1-27,33,145
CP048238.1-28,23,282
