bin_start_bp	mean_reads_across_arms	n_arms
453000	776.818	22
454000	164.727	22
455000	238.045	22
456000	421.318	22
457000	501.818	22
458000	167.545	22
459000	373.364	22
460000	160.818	22
461000	1032.05	22
462000	90.7273	22
463000	298.182	22
464000	390.818	22
465000	245.136	22
466000	47.6364	22
467000	675.227	22
468000	719.409	22
469000	640.136	22
470000	427.909	22
471000	435.591	22
472000	145.273	22
473000	496.273	22
474000	175.682	22
475000	864.682	22
476000	582.727	22
477000	966.273	22
478000	910.5	22
479000	234.818	22
480000	215.045	22
481000	302.227	22
482000	268.727	22
483000	656.682	22
484000	788.591	22
485000	393.136	22
486000	614.818	22
487000	803.545	22
488000	926.455	22
489000	452.5	22
490000	580.227	22
491000	283.227	22
492000	213.5	22
493000	208.5	22
494000	131.591	22
495000	448.545	22
496000	1080.91	22
497000	150.273	22
498000	298.909	22
499000	191.636	22
500000	258.5	22
