Bin index,yH299-parent-pool4_normalized,yH299-parent-pool4_normalized rank
CP048235.1-87,4,1022
CP048235.1-88,25,256
CP048235.1-89,14,528
CP048235.1-90,20,350
CP048235.1-91,19,375
CP048235.1-92,9,759
CP048235.1-93,7,859
CP048236.1-0,8,805
CP048236.1-1,0,1229
CP048236.1-2,5,969
CP048236.1-3,32,154
CP048236.1-4,58,45
CP048236.1-5,66,35
CP048236.1-6,16,460
CP048236.1-7,28,205
CP048236.1-8,50,63
CP048236.1-9,39,90
CP048236.1-10,21,325
CP048236.1-11,61,41
CP048236.1-12,56,49
CP048236.1-13,27,226
CP048236.1-14,20,351
CP048236.1-15,18,406
CP048236.1-16,32,155
CP048236.1-17,13,566
CP048236.1-18,2,1135
CP048236.1-19,33,142
CP048236.1-20,26,240
CP048236.1-21,7,860
CP048236.1-22,5,970
CP048236.1-23,18,407
CP048236.1-24,7,861
CP048236.1-25,1,1194
CP048236.1-26,16,461
CP048236.1-27,28,206
CP048236.1-28,34,133
CP048236.1-29,19,376
CP048236.1-30,3,1076
CP048236.1-31,24,264
CP048236.1-32,12,605
CP048236.1-33,8,806
CP048236.1-34,0,1230
CP048236.1-35,10,701
CP048236.1-36,23,285
CP048236.1-37,11,652
CP048236.1-38,5,971
CP048236.1-39,31,165
CP048236.1-40,4,1023
CP048236.1-41,3,1077
CP048236.1-42,13,567
CP048236.1-43,9,760
CP048236.1-44,16,462
CP048236.1-45,4,1024
CP048236.1-46,6,928
CP048236.1-47,43,77
CP048236.1-48,5,972
CP048236.1-49,9,761
CP048236.1-50,7,862
CP048236.1-51,26,241
CP048236.1-52,8,807
CP048236.1-53,10,702
CP048236.1-54,4,1025
CP048236.1-55,16,463
CP048236.1-56,4,1026
CP048236.1-57,27,227
CP048236.1-58,12,606
CP048236.1-59,18,408
CP048236.1-60,16,464
CP048236.1-61,2,1136
CP048236.1-62,5,973
CP048236.1-63,12,607
CP048236.1-64,28,207
CP048236.1-65,3,1078
CP048236.1-66,5,974
CP048236.1-67,7,863
CP048236.1-68,3,1079
CP048236.1-69,10,703
CP048236.1-70,29,188
CP048236.1-71,9,762
CP048236.1-72,7,864
CP048236.1-73,16,465
CP048236.1-74,11,653
CP048236.1-75,1,1195
CP048236.1-76,3,1080
CP048236.1-77,19,377
CP048236.1-78,5,975
CP048236.1-79,6,929
CP048236.1-80,1,1196
CP048236.1-81,11,654
CP048236.1-82,10,704
CP048236.1-83,10,705
CP048236.1-84,11,655
CP048236.1-85,0,1231
CP048236.1-86,13,568
CP048236.1-87,20,352
CP048236.1-88,11,656
CP048236.1-89,10,706
CP048236.1-90,7,865
CP048236.1-91,7,866
CP048236.1-92,17,440
CP048236.1-93,29,189
CP048236.1-94,8,808
CP048236.1-95,3,1081
CP048236.1-96,14,529
CP048236.1-97,1,1197
CP048236.1-98,23,286
CP048236.1-99,3,1082
CP048236.1-100,2,1137
CP048237.1-0,0,1232
CP048237.1-1,0,1233
CP048237.1-2,11,657
CP048237.1-3,15,495
CP048237.1-4,9,763
CP048237.1-5,11,658
CP048237.1-6,4,1027
CP048237.1-7,32,156
CP048237.1-8,14,530
CP048237.1-9,6,930
CP048237.1-10,4,1028
CP048237.1-11,5,976
CP048237.1-12,5,977
CP048237.1-13,8,809
CP048237.1-14,9,764
CP048237.1-15,5,978
CP048237.1-16,3,1083
CP048237.1-17,9,765
CP048237.1-18,16,466
CP048237.1-19,15,496
CP048237.1-20,11,659
CP048237.1-21,7,867
CP048237.1-22,10,707
CP048237.1-23,7,868
CP048237.1-24,21,326
CP048237.1-25,9,766
CP048237.1-26,2,1138
CP048237.1-27,2,1139
CP048237.1-28,5,979
CP048237.1-29,2,1140
CP048237.1-30,3,1084
CP048237.1-31,5,980
CP048237.1-32,12,608
CP048237.1-33,10,708
CP048237.1-34,18,409
CP048237.1-35,17,441
CP048237.1-36,14,531
CP048237.1-37,4,1029
CP048237.1-38,22,300
CP048237.1-39,28,208
CP048237.1-40,24,265
CP048237.1-41,7,869
CP048237.1-42,10,709
CP048237.1-43,10,710
CP048237.1-44,13,569
CP048237.1-45,1,1198
CP048237.1-46,13,570
CP048237.1-47,9,767
CP048237.1-48,27,228
CP048237.1-49,11,660
CP048237.1-50,0,1234
CP048237.1-51,26,242
CP048237.1-52,2,1141
CP048237.1-53,5,981
CP048237.1-54,33,143
CP048237.1-55,5,982
CP048237.1-56,2,1142
CP048237.1-57,18,410
CP048237.1-58,1,1199
CP048237.1-59,0,1235
CP048237.1-60,15,497
CP048237.1-61,29,190
CP048237.1-62,9,768
CP048237.1-63,9,769
CP048237.1-64,14,532
CP048237.1-65,15,498
CP048237.1-66,8,810
CP048237.1-67,15,499
CP048237.1-68,8,811
CP048237.1-69,10,711
CP048237.1-70,7,870
CP048237.1-71,14,533
CP048237.1-72,6,931
CP048237.1-73,41,84
CP048237.1-74,23,287
CP048237.1-75,28,209
CP048237.1-76,7,871
CP048237.1-77,4,1030
CP048237.1-78,11,661
CP048237.1-79,8,812
CP048237.1-80,7,872
CP048237.1-81,39,91
CP048237.1-82,26,243
CP048237.1-83,11,662
CP048237.1-84,9,770
CP048237.1-85,36,118
CP048237.1-86,41,85
CP048237.1-87,28,210
CP048237.1-88,20,353
CP048237.1-89,21,327
CP048237.1-90,15,500
CP048237.1-91,70,31
CP048237.1-92,27,229
CP048237.1-93,17,442
