RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A01793,GWK60_A01793,ORF,CP048230.1,229436,231463,C,2028,0,0,0.0,0.0,0.0,2028,1.0,0.999999988489429,-13.092261624843921,0,0,0,0,0.0,9999,1416.6666666666667
GWK60_A01815,GWK60_A01815,ORF,CP048230.1,231832,232212,C,381,0,0,0.0,0.0,0.0,381,1.0,0.8593618742658659,-13.092261624843921,0,0,0,0,0.0,9999,1163.5
GWK60_A01837,GWK60_A01837,ORF,CP048230.1,232956,235028,C,2073,0,0,0.0,0.0,0.0,2073,1.0,0.9999999926605359,-13.092261624843921,0,0,0,0,0.0,9999,1268.25
GWK60_A01859,GWK60_A01859,ORF,CP048230.1,236896,239226,W,2331,0,0,0.0,0.0,0.0,2331,1.0,0.9999999994438593,-13.092261624843921,0,0,0,0,0.0,9999,1311.0
GWK60_A01903,GWK60_A01903,ORF,CP048230.1,239787,241808,C,2022,0,0,0.0,0.0,0.0,2022,1.0,0.999999987777655,-13.092261624843921,0,0,0,0,0.0,9999,1327.8
GWK60_A01925,GWK60_A01925,ORF,CP048230.1,242419,244065,W,1647,0,0,0.0,0.0,0.0,1647,1.0,0.9999994802929345,-13.092261624843921,0,0,0,0,0.0,9999,1295.3333333333333
GWK60_A01947,GWK60_A01947,ORF,CP048230.1,244279,245421,C,1143,0,0,0.0,0.0,0.0,1143,1.0,0.9999197272442962,-13.092261624843921,0,0,0,0,0.0,9999,1227.2857142857142
GWK60_A01969,GWK60_A01969,ORF,CP048230.1,246399,247580,W,1182,2,2,0.001692047377326565,2.4743372814438804,2.4743372814438804,611,0.5169204737732657,0.5168923788198332,-11.507299124122765,0,0,0,0,0.0,591.0,1462.3333333333333
GWK60_A02013,GWK60_A02013,ORF,CP048230.1,248086,249903,C,1818,0,0,0.0,0.0,0.0,1818,1.0,0.9999999060027298,-13.092261624843921,0,0,0,0,0.0,9999,1592.6666666666667
GWK60_A02035,HXT6/7,ORF,CP048230.1,250700,252358,C,1659,1,1,0.0006027727546714888,0.766927868193691,0.6902350813743219,1203,0.7251356238698011,0.7251352896266244,-12.092261624843921,0,0,0,0,0.0,1659.0,1272.3333333333333
GWK60_A02057,HXT4/6/7,ORF,CP048230.1,256975,258624,C,1650,2,2,0.0012121212121212121,1.9633333333333334,1.7451851851851852,1192,0.7224242424242424,0.7224238780714481,-11.507299124122765,0,0,0,0,0.0,825.0,1619.75
GWK60_A02079,GWK60_A02079,ORF,CP048230.1,263580,264401,W,822,5,6,0.006082725060827251,10.369525547445257,9.954744525547445,492,0.5985401459854015,0.5973518666416602,-10.284906702786317,0,0,0,0,0.0,164.4,1704.75
GWK60_A02101,GWK60_A02101,ORF,CP048230.1,265990,266844,W,855,0,0,0.0,0.0,0.0,855,1.0,0.9985719267115775,-13.092261624843921,0,0,0,0,0.0,9999,1708.5714285714287
GWK60_A02123,HXT3,ORF,CP048230.1,267343,269013,C,1671,1,1,0.0005984440454817474,0.756699248620254,0.6191175670529351,1244,0.7444643925792939,0.7444640882302623,-12.092261624843921,0,0,0,0,0.0,1671.0,1264.4444444444443
GWK60_A02145,GWK60_A02145,ORF,CP048230.1,270009,270275,W,267,0,0,0.0,0.0,0.0,267,1.0,0.6615031592029524,-13.092261624843921,0,0,0,0,0.0,9999,934.5454545454545
GWK60_A02167,GWK60_A02167,ORF,CP048230.1,271399,272730,C,1332,0,0,0.0,0.0,0.0,1332,1.0,0.9999878722231386,-13.092261624843921,0,0,0,0,0.0,9999,1007.8888888888889
GWK60_A02189,GWK60_A02189,ORF,CP048230.1,273815,274774,W,960,0,0,0.0,0.0,0.0,960,1.0,0.9994997988929205,-13.092261624843921,0,0,0,0,0.0,9999,732.4
GWK60_A02211,GWK60_A02211,ORF,CP048230.1,275232,276569,C,1338,0,0,0.0,0.0,0.0,1338,1.0,0.9999885784818139,-13.092261624843921,0,0,0,0,0.0,9999,693.4
GWK60_A02233,YPS7,ORF,CP048230.1,276959,278722,C,1764,1,1,0.0005668934240362812,0.3608018965161823,0.30529391243676957,1617,0.9166666666666666,0.9166665188083791,-12.092261624843921,0,0,0,0,0.0,1764.0,636.4545454545455
