Bin index,yH298-parent-pool2,yH298-parent-pool2 rank
CP048237.1-17,2,826
CP048237.1-18,6,378
CP048237.1-19,2,827
CP048237.1-20,4,561
CP048237.1-21,3,678
CP048237.1-22,2,828
CP048237.1-23,5,463
CP048237.1-24,4,562
CP048237.1-25,6,379
CP048237.1-26,0,1150
CP048237.1-27,2,829
CP048237.1-28,1,990
CP048237.1-29,0,1151
CP048237.1-30,0,1152
CP048237.1-31,2,830
CP048237.1-32,5,464
CP048237.1-33,3,679
CP048237.1-34,3,680
CP048237.1-35,7,322
CP048237.1-36,2,831
CP048237.1-37,1,991
CP048237.1-38,7,323
CP048237.1-39,9,222
CP048237.1-40,6,380
CP048237.1-41,0,1153
CP048237.1-42,2,832
CP048237.1-43,4,563
CP048237.1-44,1,992
CP048237.1-45,0,1154
CP048237.1-46,4,564
CP048237.1-47,6,381
CP048237.1-48,2,833
CP048237.1-49,2,834
CP048237.1-50,0,1155
CP048237.1-51,4,565
CP048237.1-52,3,681
CP048237.1-53,1,993
CP048237.1-54,13,112
CP048237.1-55,4,566
CP048237.1-56,0,1156
CP048237.1-57,6,382
CP048237.1-58,1,994
CP048237.1-59,1,995
CP048237.1-60,5,465
CP048237.1-61,2,835
CP048237.1-62,6,383
CP048237.1-63,6,384
CP048237.1-64,12,136
CP048237.1-65,4,567
CP048237.1-66,2,836
CP048237.1-67,5,466
CP048237.1-68,3,682
CP048237.1-69,2,837
CP048237.1-70,1,996
CP048237.1-71,1,997
CP048237.1-72,1,998
CP048237.1-73,13,113
CP048237.1-74,1,999
CP048237.1-75,7,324
CP048237.1-76,2,838
CP048237.1-77,1,1000
CP048237.1-78,1,1001
CP048237.1-79,4,568
CP048237.1-80,3,683
CP048237.1-81,6,385
CP048237.1-82,12,137
CP048237.1-83,10,186
CP048237.1-84,4,569
CP048237.1-85,10,187
CP048237.1-86,17,66
CP048237.1-87,11,154
CP048237.1-88,9,223
CP048237.1-89,8,261
CP048237.1-90,7,325
CP048237.1-91,23,34
CP048237.1-92,11,155
CP048237.1-93,7,326
CP048237.1-94,5,467
CP048237.1-95,35,9
CP048237.1-96,7,327
CP048237.1-97,58,2
CP048237.1-98,30,16
CP048237.1-99,51,3
CP048237.1-100,7,328
CP048237.1-101,7,329
CP048237.1-102,8,262
CP048237.1-103,8,263
CP048237.1-104,3,684
CP048237.1-105,3,685
CP048238.1-0,0,1157
CP048238.1-1,0,1158
CP048238.1-2,1,1002
CP048238.1-3,3,686
CP048238.1-4,12,138
CP048238.1-5,1,1003
CP048238.1-6,13,114
CP048238.1-7,6,386
CP048238.1-8,1,1004
CP048238.1-9,1,1005
CP048238.1-10,4,570
CP048238.1-11,4,571
CP048238.1-12,5,468
CP048238.1-13,5,469
CP048238.1-14,4,572
CP048238.1-15,8,264
CP048238.1-16,3,687
CP048238.1-17,17,67
CP048238.1-18,8,265
CP048238.1-19,5,470
CP048238.1-20,2,839
CP048238.1-21,2,840
CP048238.1-22,0,1159
CP048238.1-23,1,1006
CP048238.1-24,3,688
CP048238.1-25,2,841
CP048238.1-26,3,689
CP048238.1-27,5,471
CP048238.1-28,11,156
CP048238.1-29,15,87
CP048238.1-30,2,842
CP048238.1-31,14,97
CP048238.1-32,11,157
CP048238.1-33,10,188
CP048238.1-34,3,690
CP048238.1-35,14,98
CP048238.1-36,11,158
CP048238.1-37,8,266
CP048238.1-38,0,1160
CP048238.1-39,27,23
CP048238.1-40,36,8
CP048238.1-41,6,387
CP048238.1-42,8,267
CP048238.1-43,13,115
CP048238.1-44,34,11
CP048238.1-45,6,388
CP048238.1-46,0,1161
CP048238.1-47,5,472
CP048238.1-48,9,224
CP048238.1-49,2,843
CP048238.1-50,5,473
CP048238.1-51,11,159
CP048238.1-52,1,1007
CP048238.1-53,8,268
CP048238.1-54,10,189
CP048238.1-55,11,160
CP048238.1-56,2,844
CP048238.1-57,4,573
CP048238.1-58,0,1162
CP048238.1-59,1,1008
CP048238.1-60,3,691
CP048238.1-61,0,1163
CP048238.1-62,0,1164
CP048238.1-63,1,1009
CP048238.1-64,0,1165
CP048238.1-65,0,1166
CP048238.1-66,4,574
CP048238.1-67,1,1010
CP048238.1-68,19,54
CP048238.1-69,3,692
CP048238.1-70,7,330
CP048238.1-71,9,225
CP048238.1-72,3,693
CP048238.1-73,4,575
CP048238.1-74,0,1167
CP048238.1-75,1,1011
CP048239.1-0,0,1168
CP048239.1-1,0,1169
CP048239.1-2,0,1170
CP048239.1-3,8,269
CP048239.1-4,5,474
CP048239.1-5,9,226
CP048239.1-6,14,99
CP048239.1-7,1,1012
CP048239.1-8,6,389
CP048239.1-9,2,845
CP048239.1-10,21,41
CP048239.1-11,2,846
CP048239.1-12,3,694
CP048239.1-13,2,847
CP048239.1-14,5,475
CP048239.1-15,13,116
CP048239.1-16,8,270
CP048239.1-17,20,47
CP048239.1-18,13,117
CP048239.1-19,5,476
CP048239.1-20,9,227
CP048239.1-21,8,271
CP048239.1-22,11,161
CP048239.1-23,40,5
CP048239.1-24,18,62
CP048239.1-25,10,190
CP048239.1-26,3,695
CP048239.1-27,13,118
CP048239.1-28,13,119
CP048239.1-29,10,191
CP048239.1-30,11,162
CP048239.1-31,9,228
CP048239.1-32,3,696
CP048239.1-33,2,848
CP048239.1-34,5,477
CP048239.1-35,4,576
CP048239.1-36,5,478
CP048239.1-37,0,1171
CP048239.1-38,7,331
CP048239.1-39,2,849
CP048239.1-40,7,332
CP048239.1-41,5,479
CP048239.1-42,3,697
CP048239.1-43,3,698
CP048239.1-44,4,577
CP048239.1-45,3,699
CP048239.1-46,0,1172
CP048239.1-47,0,1173
CP048239.1-48,2,850
CP048239.1-49,3,700
CP048239.1-50,2,851
CP048239.1-51,0,1174
CP048239.1-52,0,1175
CP048239.1-53,0,1176
CP048239.1-54,5,480
CP048239.1-55,7,333
CP048239.1-56,2,852
CP048239.1-57,2,853
CP048239.1-58,0,1177
CP048239.1-59,2,854
CP048239.1-60,6,390
CP048239.1-61,4,578
CP048239.1-62,5,481
CP048239.1-63,0,1178
CP048239.1-64,2,855
CP048239.1-65,5,482
CP048239.1-66,1,1013
CP048239.1-67,1,1014
CP048239.1-68,0,1179
