Bin index,yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1 rank
CP048241.1-100,6,349
CP048241.1-101,1,1021
CP048241.1-102,6,350
CP048241.1-103,6,351
CP048241.1-104,1,1022
CP048241.1-105,3,675
CP048241.1-106,7,285
CP048241.1-107,3,676
CP048241.1-108,7,286
CP048241.1-109,1,1023
CP048241.1-110,7,287
CP048241.1-111,1,1024
CP048241.1-112,1,1025
CP048241.1-113,2,842
CP048241.1-114,0,1201
CP048241.1-115,6,352
CP048241.1-116,2,843
CP048241.1-117,10,159
CP048241.1-118,3,677
CP048241.1-119,2,844
CP048241.1-120,2,845
CP048241.1-121,0,1202
CP048241.1-122,0,1203
CP048241.1-123,12,118
CP048241.1-124,10,160
CP048241.1-125,6,353
CP048241.1-126,11,134
CP048241.1-127,7,288
CP048241.1-128,4,547
CP048241.1-129,1,1026
CP048241.1-130,1,1027
CP048241.1-131,5,443
CP048241.1-132,8,237
CP048241.1-133,3,678
CP048241.1-134,10,161
CP048241.1-135,22,31
CP048241.1-136,11,135
CP048241.1-137,11,136
CP048241.1-138,22,32
