Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048235.1-32,2,820
CP048235.1-33,5,465
CP048235.1-34,10,195
CP048235.1-35,4,558
CP048235.1-36,4,559
CP048235.1-37,14,99
CP048235.1-38,1,972
CP048235.1-39,4,560
CP048235.1-40,2,821
CP048235.1-41,2,822
CP048235.1-42,3,682
CP048235.1-43,16,70
CP048235.1-44,0,1150
CP048235.1-45,4,561
CP048235.1-46,7,316
CP048235.1-47,12,135
CP048235.1-48,7,317
CP048235.1-49,6,373
CP048235.1-50,12,136
CP048235.1-51,2,823
CP048235.1-52,2,824
CP048235.1-53,5,466
CP048235.1-54,1,973
CP048235.1-55,7,318
CP048235.1-56,2,825
CP048235.1-57,4,562
CP048235.1-58,2,826
CP048235.1-59,1,974
CP048235.1-60,12,137
CP048235.1-61,13,116
CP048235.1-62,10,196
CP048235.1-63,4,563
CP048235.1-64,2,827
CP048235.1-65,1,975
CP048235.1-66,1,976
CP048235.1-67,0,1151
CP048235.1-68,3,683
CP048235.1-69,7,319
CP048235.1-70,15,79
CP048235.1-71,1,977
CP048235.1-72,0,1152
CP048235.1-73,5,467
CP048235.1-74,4,564
CP048235.1-75,14,100
CP048235.1-76,4,565
CP048235.1-77,2,828
CP048235.1-78,1,978
CP048235.1-79,2,829
CP048235.1-80,3,684
CP048235.1-81,7,320
CP048235.1-82,3,685
CP048235.1-83,6,374
CP048235.1-84,4,566
CP048235.1-85,0,1153
CP048235.1-86,6,375
CP048235.1-87,1,979
CP048235.1-88,9,224
CP048235.1-89,0,1154
CP048235.1-90,6,376
CP048235.1-91,1,980
CP048235.1-92,1,981
CP048236.1-0,2,830
CP048236.1-1,0,1155
CP048236.1-2,0,1156
CP048236.1-3,11,167
CP048236.1-4,19,55
CP048236.1-5,31,21
CP048236.1-6,6,377
CP048236.1-7,8,259
CP048236.1-8,15,80
CP048236.1-9,7,321
CP048236.1-10,8,260
CP048236.1-11,16,71
CP048236.1-12,10,197
CP048236.1-13,8,261
CP048236.1-14,11,168
CP048236.1-15,5,468
CP048236.1-16,7,322
CP048236.1-17,1,982
CP048236.1-18,1,983
CP048236.1-19,8,262
CP048236.1-20,11,169
CP048236.1-21,2,831
CP048236.1-22,4,567
CP048236.1-23,13,117
CP048236.1-24,0,1157
CP048236.1-25,3,686
CP048236.1-26,4,568
CP048236.1-27,8,263
