feature_id,sample,condition,background,pool,reads,total_feature_reads,cpm
GWK60_A00253,yH299-parent-pool4,parent,yH299,4,2,1572,1272.2646310432572
GWK60_A00275,yH298-H2O2-treated-facs-pool1,treated,yH298,1,4,1828,2188.1838074398247
GWK60_A00275,yH298-H2O2-treated-facs-pool2,treated,yH298,2,4,2101,1903.855306996668
GWK60_A00275,yH298-parent-pool1,parent,yH298,1,5,2000,2500
GWK60_A00275,yH298-parent-pool2,parent,yH298,2,8,2013,3974.167908594138
GWK60_A00275,yH299-H2O2-treated-facs-pool3,treated,yH299,3,2,2012,994.0357852882703
GWK60_A00275,yH299-H2O2-treated-facs-pool4,treated,yH299,4,2,2244,891.2655971479501
GWK60_A00275,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00275,yH299-parent-pool4,parent,yH299,4,6,1572,3816.793893129771
GWK60_A00297,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00297,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00297,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00297,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00297,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00297,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00297,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00297,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00319,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00319,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00319,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00319,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00319,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00319,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00319,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00319,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00341,yH298-H2O2-treated-facs-pool1,treated,yH298,1,1,1828,547.0459518599562
GWK60_A00341,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00341,yH298-parent-pool1,parent,yH298,1,1,2000,500
GWK60_A00341,yH298-parent-pool2,parent,yH298,2,2,2013,993.5419771485346
GWK60_A00341,yH299-H2O2-treated-facs-pool3,treated,yH299,3,1,2012,497.01789264413515
GWK60_A00341,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00341,yH299-parent-pool3,parent,yH299,3,0,2117,0
GWK60_A00341,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00363,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00363,yH298-H2O2-treated-facs-pool2,treated,yH298,2,1,2101,475.963826749167
GWK60_A00363,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00363,yH298-parent-pool2,parent,yH298,2,1,2013,496.7709885742673
GWK60_A00363,yH299-H2O2-treated-facs-pool3,treated,yH299,3,1,2012,497.01789264413515
GWK60_A00363,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00363,yH299-parent-pool3,parent,yH299,3,2,2117,944.7331128956071
GWK60_A00363,yH299-parent-pool4,parent,yH299,4,0,1572,0
GWK60_A00385,yH298-H2O2-treated-facs-pool1,treated,yH298,1,0,1828,0
GWK60_A00385,yH298-H2O2-treated-facs-pool2,treated,yH298,2,0,2101,0
GWK60_A00385,yH298-parent-pool1,parent,yH298,1,0,2000,0
GWK60_A00385,yH298-parent-pool2,parent,yH298,2,0,2013,0
GWK60_A00385,yH299-H2O2-treated-facs-pool3,treated,yH299,3,0,2012,0
GWK60_A00385,yH299-H2O2-treated-facs-pool4,treated,yH299,4,0,2244,0
GWK60_A00385,yH299-parent-pool3,parent,yH299,3,0,2117,0
