Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048235.1-65,4,1175
CP048235.1-66,16,894
CP048235.1-67,10,1049
CP048235.1-68,17,865
CP048235.1-69,34,455
CP048235.1-70,57,201
CP048235.1-71,14,945
CP048235.1-72,9,1067
CP048235.1-73,18,833
CP048235.1-74,37,407
CP048235.1-75,68,141
CP048235.1-76,17,866
CP048235.1-77,13,971
CP048235.1-78,9,1068
CP048235.1-79,19,803
CP048235.1-80,29,532
CP048235.1-81,24,661
CP048235.1-82,18,834
CP048235.1-83,26,603
CP048235.1-84,17,867
CP048235.1-85,16,895
CP048235.1-86,26,604
CP048235.1-87,7,1122
CP048235.1-88,59,192
CP048235.1-89,20,776
CP048235.1-90,48,279
CP048235.1-91,33,470
CP048235.1-92,29,533
CP048235.1-93,1,1231
CP048236.1-0,3,1206
CP048236.1-1,0,1246
CP048236.1-2,4,1176
CP048236.1-3,80,102
CP048236.1-4,85,86
CP048236.1-5,152,22
CP048236.1-6,32,484
CP048236.1-7,53,228
CP048236.1-8,124,37
CP048236.1-9,88,75
CP048236.1-10,27,582
CP048236.1-11,103,51
CP048236.1-12,86,80
CP048236.1-13,71,130
CP048236.1-14,42,346
CP048236.1-15,39,384
CP048236.1-16,44,319
CP048236.1-17,32,485
CP048236.1-18,8,1094
CP048236.1-19,56,204
CP048236.1-20,61,180
CP048236.1-21,11,1027
CP048236.1-22,16,896
CP048236.1-23,47,292
CP048236.1-24,10,1050
CP048236.1-25,19,804
CP048236.1-26,45,307
CP048236.1-27,51,249
CP048236.1-28,61,181
CP048236.1-29,39,385
CP048236.1-30,9,1069
CP048236.1-31,36,418
CP048236.1-32,13,972
CP048236.1-33,26,605
CP048236.1-34,2,1220
CP048236.1-35,11,1028
CP048236.1-36,37,408
CP048236.1-37,18,835
CP048236.1-38,24,662
CP048236.1-39,71,131
CP048236.1-40,9,1070
CP048236.1-41,18,836
CP048236.1-42,23,684
CP048236.1-43,19,805
CP048236.1-44,35,433
CP048236.1-45,9,1071
CP048236.1-46,15,922
CP048236.1-47,62,175
CP048236.1-48,8,1095
CP048236.1-49,14,946
CP048236.1-50,10,1051
CP048236.1-51,51,250
CP048236.1-52,21,750
CP048236.1-53,28,557
CP048236.1-54,22,720
CP048236.1-55,35,434
CP048236.1-56,24,663
CP048236.1-57,45,308
CP048236.1-58,37,409
CP048236.1-59,28,558
CP048236.1-60,32,486
CP048236.1-61,7,1123
CP048236.1-62,13,973
CP048236.1-63,35,435
CP048236.1-64,46,298
CP048236.1-65,6,1139
CP048236.1-66,29,534
CP048236.1-67,18,837
CP048236.1-68,8,1096
CP048236.1-69,11,1029
CP048236.1-70,73,121
CP048236.1-71,23,685
CP048236.1-72,16,897
CP048236.1-73,29,535
CP048236.1-74,23,686
CP048236.1-75,6,1140
CP048236.1-76,9,1072
CP048236.1-77,27,583
CP048236.1-78,11,1030
CP048236.1-79,19,806
CP048236.1-80,5,1161
CP048236.1-81,22,721
CP048236.1-82,28,559
CP048236.1-83,25,632
CP048236.1-84,41,360
CP048236.1-85,6,1141
CP048236.1-86,22,722
CP048236.1-87,53,229
CP048236.1-88,26,606
CP048236.1-89,27,584
CP048236.1-90,12,1002
CP048236.1-91,30,518
CP048236.1-92,38,397
CP048236.1-93,62,176
CP048236.1-94,18,838
CP048236.1-95,15,923
CP048236.1-96,22,723
CP048236.1-97,6,1142
CP048236.1-98,39,386
CP048236.1-99,8,1097
CP048236.1-100,4,1177
CP048237.1-0,0,1247
CP048237.1-1,0,1248
CP048237.1-2,22,724
CP048237.1-3,37,410
CP048237.1-4,36,419
CP048237.1-5,17,868
CP048237.1-6,5,1162
CP048237.1-7,61,182
CP048237.1-8,25,633
CP048237.1-9,12,1003
CP048237.1-10,16,898
CP048237.1-11,19,807
CP048237.1-12,7,1124
CP048237.1-13,19,808
CP048237.1-14,28,560
CP048237.1-15,7,1125
CP048237.1-16,12,1004
CP048237.1-17,21,751
CP048237.1-18,20,777
CP048237.1-19,24,664
CP048237.1-20,16,899
CP048237.1-21,20,778
CP048237.1-22,25,634
CP048237.1-23,23,687
CP048237.1-24,48,280
CP048237.1-25,28,561
CP048237.1-26,7,1126
CP048237.1-27,8,1098
CP048237.1-28,21,752
CP048237.1-29,6,1143
CP048237.1-30,8,1099
CP048237.1-31,6,1144
CP048237.1-32,26,607
CP048237.1-33,16,900
CP048237.1-34,35,436
CP048237.1-35,22,725
CP048237.1-36,21,753
CP048237.1-37,11,1031
CP048237.1-38,41,361
CP048237.1-39,53,230
CP048237.1-40,54,223
CP048237.1-41,9,1073
CP048237.1-42,20,779
CP048237.1-43,19,809
CP048237.1-44,23,688
CP048237.1-45,8,1100
CP048237.1-46,44,320
CP048237.1-47,12,1005
CP048237.1-48,36,420
CP048237.1-49,29,536
CP048237.1-50,1,1232
CP048237.1-51,44,321
CP048237.1-52,11,1032
CP048237.1-53,14,947
CP048237.1-54,51,251
CP048237.1-55,26,608
CP048237.1-56,4,1178
CP048237.1-57,37,411
CP048237.1-58,13,974
CP048237.1-59,5,1163
CP048237.1-60,39,387
CP048237.1-61,51,252
CP048237.1-62,22,726
CP048237.1-63,17,869
CP048237.1-64,44,322
CP048237.1-65,31,502
CP048237.1-66,21,754
CP048237.1-67,27,585
CP048237.1-68,18,839
CP048237.1-69,22,727
CP048237.1-70,21,755
CP048237.1-71,24,665
CP048237.1-72,3,1207
CP048237.1-73,82,97
CP048237.1-74,40,372
CP048237.1-75,48,281
CP048237.1-76,21,756
CP048237.1-77,6,1145
CP048237.1-78,28,562
CP048237.1-79,27,586
CP048237.1-80,34,456
CP048237.1-81,73,122
CP048237.1-82,78,106
CP048237.1-83,48,282
CP048237.1-84,15,924
CP048237.1-85,56,205
CP048237.1-86,84,90
CP048237.1-87,67,149
CP048237.1-88,51,253
CP048237.1-89,29,537
CP048237.1-90,51,254
CP048237.1-91,116,42
CP048237.1-92,75,117
CP048237.1-93,43,333
CP048237.1-94,43,334
CP048237.1-95,147,24
CP048237.1-96,28,563
CP048237.1-97,261,1
CP048237.1-98,120,41
CP048237.1-99,225,3
CP048237.1-100,46,299
CP048237.1-101,37,412
CP048237.1-102,39,388
CP048237.1-103,35,437
CP048237.1-104,20,780
CP048237.1-105,14,948
CP048238.1-0,2,1221
CP048238.1-1,0,1249
CP048238.1-2,28,564
CP048238.1-3,15,925
CP048238.1-4,69,138
CP048238.1-5,24,666
CP048238.1-6,58,196
CP048238.1-7,39,389
CP048238.1-8,32,487
CP048238.1-9,8,1101
CP048238.1-10,30,519
CP048238.1-11,39,390
CP048238.1-12,33,471
CP048238.1-13,27,587
CP048238.1-14,22,728
CP048238.1-15,52,240
CP048238.1-16,41,362
CP048238.1-17,76,113
CP048238.1-18,54,224
CP048238.1-19,56,206
CP048238.1-20,34,457
CP048238.1-21,9,1074
CP048238.1-22,19,810
CP048238.1-23,12,1006
CP048238.1-24,13,975
CP048238.1-25,40,373
CP048238.1-26,25,635
CP048238.1-27,59,193
CP048238.1-28,31,503
CP048238.1-29,60,188
CP048238.1-30,5,1164
CP048238.1-31,63,169
CP048238.1-32,50,263
CP048238.1-33,48,283
CP048238.1-34,29,538
CP048238.1-35,90,69
CP048238.1-36,60,189
CP048238.1-37,41,363
CP048238.1-38,46,300
CP048238.1-39,162,16
CP048238.1-40,159,17
CP048238.1-41,32,488
CP048238.1-42,23,689
CP048238.1-43,53,231
CP048238.1-44,200,5
CP048238.1-45,56,207
CP048238.1-46,16,901
CP048238.1-47,46,301
CP048238.1-48,68,142
CP048238.1-49,38,398
CP048238.1-50,32,489
CP048238.1-51,44,323
CP048238.1-52,23,690
CP048238.1-53,40,374
CP048238.1-54,49,271
CP048238.1-55,61,183
CP048238.1-56,42,347
CP048238.1-57,52,241
CP048238.1-58,0,1250
CP048238.1-59,8,1102
CP048238.1-60,41,364
CP048238.1-61,0,1251
CP048238.1-62,17,870
CP048238.1-63,8,1103
CP048238.1-64,13,976
CP048238.1-65,1,1233
CP048238.1-66,20,781
CP048238.1-67,26,609
CP048238.1-68,84,91
CP048238.1-69,21,757
CP048238.1-70,79,104
CP048238.1-71,67,150
CP048238.1-72,25,636
