Bin index,combined_parent_hits.T102400,combined_parent_hits.T102400 rank
CP048237.1-46,77,639
CP048237.1-47,53,873
CP048237.1-48,139,266
CP048237.1-49,70,712
CP048237.1-50,5,1235
CP048237.1-51,146,236
CP048237.1-52,49,910
CP048237.1-53,61,799
CP048237.1-54,142,250
CP048237.1-55,70,713
CP048237.1-56,12,1210
CP048237.1-57,108,423
CP048237.1-58,38,1039
CP048237.1-59,11,1216
CP048237.1-60,118,360
CP048237.1-61,132,303
CP048237.1-62,54,864
CP048237.1-63,68,724
CP048237.1-64,133,295
CP048237.1-65,95,497
CP048237.1-66,71,698
CP048237.1-67,91,526
CP048237.1-68,69,719
CP048237.1-69,74,669
CP048237.1-70,58,825
CP048237.1-71,67,740
CP048237.1-72,31,1099
CP048237.1-73,217,91
CP048237.1-74,103,445
CP048237.1-75,115,381
CP048237.1-76,45,956
CP048237.1-77,40,1019
CP048237.1-78,80,616
CP048237.1-79,71,699
CP048237.1-80,71,700
CP048237.1-81,180,145
CP048237.1-82,196,122
CP048237.1-83,145,240
CP048237.1-84,68,725
CP048237.1-85,175,159
CP048237.1-86,215,94
CP048237.1-87,174,163
CP048237.1-88,138,274
CP048237.1-89,72,689
CP048237.1-90,153,218
CP048237.1-91,331,29
CP048237.1-92,192,129
CP048237.1-93,97,481
CP048237.1-94,101,460
CP048237.1-95,355,21
CP048237.1-96,157,207
CP048237.1-97,601,1
CP048237.1-98,286,42
CP048237.1-99,501,3
CP048237.1-100,143,246
CP048237.1-101,109,418
CP048237.1-102,113,393
CP048237.1-103,91,527
CP048237.1-104,127,321
CP048237.1-105,60,809
CP048238.1-0,15,1197
CP048238.1-1,1,1257
CP048238.1-2,92,521
CP048238.1-3,72,690
CP048238.1-4,161,191
CP048238.1-5,86,572
CP048238.1-6,180,146
CP048238.1-7,137,278
CP048238.1-8,117,372
CP048238.1-9,49,911
CP048238.1-10,73,678
CP048238.1-11,109,419
CP048238.1-12,124,335
CP048238.1-13,93,515
CP048238.1-14,68,726
CP048238.1-15,177,150
CP048238.1-16,103,446
CP048238.1-17,180,147
CP048238.1-18,134,288
CP048238.1-19,139,267
CP048238.1-20,75,651
CP048238.1-21,37,1049
CP048238.1-22,67,741
CP048238.1-23,42,994
CP048238.1-24,49,912
CP048238.1-25,90,534
CP048238.1-26,93,516
CP048238.1-27,198,118
CP048238.1-28,126,326
CP048238.1-29,219,87
CP048238.1-30,31,1100
CP048238.1-31,187,134
CP048238.1-32,145,241
CP048238.1-33,140,261
CP048238.1-34,65,763
CP048238.1-35,255,59
CP048238.1-36,176,155
CP048238.1-37,156,209
CP048238.1-38,146,237
CP048238.1-39,423,9
CP048238.1-40,299,37
CP048238.1-41,78,633
CP048238.1-42,90,535
CP048238.1-43,158,201
CP048238.1-44,460,8
CP048238.1-45,181,143
CP048238.1-46,49,913
CP048238.1-47,124,336
CP048238.1-48,169,175
CP048238.1-49,94,505
CP048238.1-50,80,617
CP048238.1-51,134,289
CP048238.1-52,58,826
CP048238.1-53,142,251
CP048238.1-54,148,232
CP048238.1-55,150,229
CP048238.1-56,111,406
CP048238.1-57,141,255
CP048238.1-58,0,1261
CP048238.1-59,58,827
CP048238.1-60,128,317
CP048238.1-61,2,1249
CP048238.1-62,33,1077
CP048238.1-63,15,1198
CP048238.1-64,31,1101
CP048238.1-65,11,1217
CP048238.1-66,49,914
CP048238.1-67,89,540
CP048238.1-68,173,166
CP048238.1-69,47,931
CP048238.1-70,169,176
CP048238.1-71,161,192
CP048238.1-72,80,618
CP048238.1-73,67,742
CP048238.1-74,0,1262
CP048238.1-75,7,1226
CP048239.1-0,12,1211
CP048239.1-1,0,1263
CP048239.1-2,34,1069
CP048239.1-3,182,142
CP048239.1-4,86,573
CP048239.1-5,161,193
CP048239.1-6,170,173
CP048239.1-7,27,1130
CP048239.1-8,106,434
CP048239.1-9,21,1165
CP048239.1-10,141,256
CP048239.1-11,43,982
CP048239.1-12,64,773
CP048239.1-13,45,957
CP048239.1-14,75,652
CP048239.1-15,171,170
CP048239.1-16,134,290
CP048239.1-17,274,48
CP048239.1-18,224,78
CP048239.1-19,103,447
CP048239.1-20,127,322
CP048239.1-21,91,528
CP048239.1-22,198,119
CP048239.1-23,474,6
CP048239.1-24,329,30
CP048239.1-25,132,304
CP048239.1-26,95,498
CP048239.1-27,280,44
CP048239.1-28,205,107
CP048239.1-29,146,238
CP048239.1-30,177,151
CP048239.1-31,163,185
CP048239.1-32,45,958
CP048239.1-33,139,268
CP048239.1-34,67,743
CP048239.1-35,85,578
CP048239.1-36,78,634
CP048239.1-37,21,1166
CP048239.1-38,93,517
CP048239.1-39,108,424
CP048239.1-40,135,283
CP048239.1-41,131,311
CP048239.1-42,96,488
CP048239.1-43,41,1008
CP048239.1-44,92,522
CP048239.1-45,47,932
CP048239.1-46,40,1020
CP048239.1-47,23,1156
CP048239.1-48,52,887
CP048239.1-49,61,800
CP048239.1-50,46,940
CP048239.1-51,34,1070
CP048239.1-52,3,1245
CP048239.1-53,33,1078
CP048239.1-54,41,1009
CP048239.1-55,85,579
CP048239.1-56,21,1167
CP048239.1-57,26,1136
CP048239.1-58,23,1157
CP048239.1-59,80,619
CP048239.1-60,105,438
CP048239.1-61,110,412
CP048239.1-62,73,679
CP048239.1-63,12,1212
CP048239.1-64,75,653
CP048239.1-65,118,361
CP048239.1-66,49,915
CP048239.1-67,49,916
CP048239.1-68,79,626
CP048239.1-69,26,1137
CP048239.1-70,46,941
CP048239.1-71,61,801
CP048239.1-72,121,347
CP048239.1-73,108,425
CP048239.1-74,49,917
CP048239.1-75,54,865
CP048239.1-76,83,593
CP048239.1-77,62,789
CP048239.1-78,41,1010
CP048239.1-79,37,1050
CP048239.1-80,27,1131
CP048239.1-81,43,983
CP048239.1-82,13,1206
CP048239.1-83,35,1060
CP048239.1-84,63,782
CP048239.1-85,12,1213
CP048239.1-86,112,400
CP048239.1-87,95,499
CP048239.1-88,57,836
CP048239.1-89,49,918
CP048239.1-90,64,774
CP048239.1-91,41,1011
CP048239.1-92,33,1079
CP048239.1-93,48,927
CP048239.1-94,95,500
CP048239.1-95,122,343
CP048239.1-96,59,819
CP048239.1-97,19,1177
CP048239.1-98,43,984
CP048239.1-99,63,783
CP048239.1-100,89,541
CP048239.1-101,102,454
CP048239.1-102,57,837
CP048239.1-103,56,847
CP048239.1-104,38,1040
CP048239.1-105,67,744
CP048239.1-106,87,561
CP048239.1-107,26,1138
CP048239.1-108,29,1118
CP048239.1-109,31,1102
CP048239.1-110,46,942
CP048239.1-111,56,848
CP048239.1-112,84,584
CP048239.1-113,67,745
CP048239.1-114,62,790
CP048239.1-115,53,874
CP048239.1-116,53,875
CP048239.1-117,68,727
CP048239.1-118,104,440
CP048239.1-119,98,473
CP048239.1-120,42,995
CP048239.1-121,27,1132
CP048239.1-122,4,1238
CP048239.1-123,1,1258
CP048239.1-124,6,1229
CP048240.1-0,2,1250
CP048240.1-1,4,1239
CP048240.1-2,108,426
CP048240.1-3,154,214
CP048240.1-4,90,536
CP048240.1-5,21,1168
CP048240.1-6,112,401
CP048240.1-7,150,230
CP048240.1-8,91,529
CP048240.1-9,93,518
CP048240.1-10,40,1021
CP048240.1-11,97,482
CP048240.1-12,74,670
CP048240.1-13,46,943
CP048240.1-14,157,208
CP048240.1-15,113,394
CP048240.1-16,106,435
CP048240.1-17,112,402
CP048240.1-18,158,202
CP048240.1-19,191,130
CP048240.1-20,114,388
CP048240.1-21,100,465
CP048240.1-22,118,362
CP048240.1-23,139,269
CP048240.1-24,223,80
CP048240.1-25,413,12
CP048240.1-26,375,16
CP048240.1-27,418,11
CP048240.1-28,283,43
CP048240.1-29,280,45
CP048240.1-30,141,257
CP048240.1-31,153,219
CP048240.1-32,158,203
CP048240.1-33,115,382
CP048240.1-34,218,88
CP048240.1-35,26,1139
CP048240.1-36,75,654
CP048240.1-37,156,210
CP048240.1-38,132,305
CP048240.1-39,135,284
CP048240.1-40,230,73
CP048240.1-41,116,377
CP048240.1-42,101,461
CP048240.1-43,71,701
CP048240.1-44,97,483
CP048240.1-45,117,373
CP048240.1-46,78,635
CP048240.1-47,89,542
CP048240.1-48,117,374
CP048240.1-49,59,820
CP048240.1-50,90,537
CP048240.1-51,83,594
CP048240.1-52,71,702
CP048240.1-53,88,554
CP048240.1-54,17,1187
CP048240.1-55,41,1012
CP048240.1-56,144,244
CP048240.1-57,145,242
CP048240.1-58,108,427
CP048240.1-59,68,728
CP048240.1-60,75,655
CP048240.1-61,110,413
CP048240.1-62,33,1080
CP048240.1-63,52,888
CP048240.1-64,47,933
CP048240.1-65,81,610
CP048240.1-66,45,959
CP048240.1-67,74,671
CP048240.1-68,49,919
CP048240.1-69,64,775
CP048240.1-70,34,1071
CP048240.1-71,89,543
CP048240.1-72,218,89
CP048240.1-73,132,306
CP048240.1-74,118,363
CP048240.1-75,46,944
CP048240.1-76,85,580
CP048240.1-77,141,258
CP048240.1-78,49,920
CP048240.1-79,28,1122
CP048240.1-80,37,1051
CP048240.1-81,53,876
CP048240.1-82,40,1022
CP048240.1-83,28,1123
CP048240.1-84,87,562
CP048240.1-85,42,996
CP048240.1-86,77,640
CP048240.1-87,107,430
CP048240.1-88,201,111
CP048240.1-89,72,691
CP048240.1-90,31,1103
CP048240.1-91,102,455
CP048240.1-92,35,1061
CP048240.1-93,95,501
CP048240.1-94,35,1062
CP048240.1-95,67,746
CP048240.1-96,28,1124
CP048240.1-97,71,703
CP048240.1-98,39,1033
CP048240.1-99,68,729
CP048240.1-100,35,1063
CP048240.1-101,20,1173
CP048240.1-102,33,1081
CP048240.1-103,60,810
CP048240.1-104,91,530
CP048240.1-105,63,784
CP048240.1-106,128,318
CP048240.1-107,130,314
CP048240.1-108,14,1201
CP048240.1-109,46,945
CP048240.1-110,42,997
CP048240.1-111,127,323
CP048240.1-112,76,645
CP048240.1-113,46,946
CP048240.1-114,24,1152
CP048240.1-115,133,296
CP048240.1-116,56,849
CP048240.1-117,126,327
CP048240.1-118,92,523
CP048240.1-119,44,973
CP048240.1-120,104,441
CP048240.1-121,45,960
CP048240.1-122,53,877
CP048240.1-123,52,889
CP048240.1-124,48,928
CP048240.1-125,42,998
CP048240.1-126,147,234
CP048240.1-127,132,307
CP048240.1-128,57,838
CP048240.1-129,110,414
CP048240.1-130,19,1178
CP048241.1-0,27,1133
CP048241.1-1,30,1111
CP048241.1-2,136,280
CP048241.1-3,70,714
CP048241.1-4,100,466
CP048241.1-5,98,474
CP048241.1-6,53,878
CP048241.1-7,158,204
CP048241.1-8,28,1125
CP048241.1-9,163,186
CP048241.1-10,53,879
CP048241.1-11,167,178
CP048241.1-12,36,1055
CP048241.1-13,23,1158
