RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00803,GWK60_A00803,ORF,CP048230.1,114196,118476,W,4281,5,1371,0.00116795141322121,0.08718510549397765,0.028034306231362716,1901,0.44405512730670404,0.44405512730670404,-13.662116153300786,1,0,0,0,0.0,856.2,74.64788732394366
GWK60_A00825,GWK60_A00825,ORF,CP048230.1,118583,119263,C,681,0,0,0.0,0.0,0.0,681,1.0,0.9919179913746745,-24.0841809194736,0,0,0,0,0.0,9999,73.21538461538462
GWK60_A00847,PEX23B,ORF,CP048230.1,119483,120694,W,1212,4,3563,0.0033003300330033004,0.2572057205720572,0.2611737832913495,457,0.37706270627062705,0.37704752402769304,-12.284899297951677,0,0,0,0,0.0,303.0,77.93333333333334
GWK60_A00869,GWK60_A00869,ORF,CP048230.1,121621,121857,C,237,0,0,0.0,0.0,0.0,237,1.0,0.5914589784327801,-24.0841809194736,0,0,0,0,0.0,9999,78.08333333333333
GWK60_A00891,GWK60_A00891,ORF,CP048230.1,122845,123504,W,660,25,37296,0.03787878787878788,2.5824420677361855,4.044089926745067,241,0.36515151515151517,0.3615175996213274,-8.897408948563841,4,0,0,0,0.0,26.4,68.17647058823529
GWK60_A00913,GWK60_A00913,ORF,CP048230.1,123980,125215,W,1236,0,0,0.0,0.0,0.0,1236,1.0,0.9999683265470388,-24.0841809194736,0,0,0,0,0.0,9999,67.98823529411764
GWK60_A00935,GWK60_A00935,ORF,CP048230.1,126050,127501,C,1452,1,1,0.0006887052341597796,0.04861111111111111,5.063720201556732e-05,872,0.6005509641873278,0.6005487704664487,-23.0841809194736,3,0,0,0,0.0,1452.0,70.58333333333333
GWK60_A00957,GWK60_A00957,ORF,CP048230.1,128085,130010,W,1926,2,2995,0.0010384215991692627,0.07708753283244761,0.12164233974350928,1681,0.8727933541017653,0.8727933262412813,-12.535359011014847,2,0,0,0,0.0,963.0,74.23529411764706
GWK60_A00979,GWK60_A00979,ORF,CP048230.1,130228,131835,C,1608,3,3002,0.0018656716417910447,0.1239655681986109,0.1376541679354964,951,0.5914179104477612,0.5914174564770504,-12.53199215991645,1,0,0,0,0.0,536.0,66.44554455445545
GWK60_A01001,GWK60_A01001,ORF,CP048230.1,132712,132921,W,210,0,0,0.0,0.0,0.0,210,1.0,0.52497918747894,-24.0841809194736,0,0,0,0,0.0,9999,73.63013698630137
GWK60_A01023,GWK60_A01023,ORF,CP048230.1,133262,135667,W,2406,2,2130,0.0008312551953449709,0.07523413688002217,0.09395151313735924,967,0.4019118869492934,0.40191188684371026,-13.026866041690896,1,0,0,0,0.0,1203.0,90.50666666666666
GWK60_A01045,GWK60_A01045,ORF,CP048230.1,136034,137863,W,1830,1,1,0.000546448087431694,0.04152398299939283,4.648322682088305e-05,1770,0.9672131147540983,0.9672130341193776,-23.0841809194736,0,0,0,0,0.0,1830.0,75.9888888888889
GWK60_A01067,GWK60_A01067,ORF,CP048230.1,138245,140797,W,2553,1,59,0.0003916960438699569,0.03605514316012725,0.0025888981953856695,2416,0.9463376419898158,0.9463376419326552,-18.17729032386508,0,0,0,0,0.0,2553.0,92.04878048780488
GWK60_A01089,GWK60_A01089,ORF,CP048230.1,140956,141267,W,312,7,3606,0.022435897435897436,2.0117521367521367,1.293436207157211,178,0.5705128205128205,0.4301602292561307,-12.267597211686027,7,0,0,0,0.0,44.57142857142857,89.66666666666667
GWK60_A01111,DIP5,ORF,CP048230.1,142280,144121,W,1842,9,13938,0.004885993485342019,0.5103802833483772,0.9967022890578718,823,0.44679695982627576,0.4467969267897184,-10.317341475618097,0,0,0,0,0.0,204.66666666666666,104.4578313253012
GWK60_A01133,GWK60_A01133,ORF,CP048230.1,147012,147893,W,882,2,1993,0.0022675736961451248,0.29651225569592915,0.44310619272703133,678,0.7687074829931972,0.7678691841392986,-13.122731225075404,0,0,0,0,0.0,441.0,130.76190476190476
GWK60_A01155,GIT1,ORF,CP048230.1,148737,150332,C,1596,4,123,0.002506265664160401,0.35209235209235207,0.01574500768049155,808,0.506265664160401,0.5062652260060481,-17.129984609086723,1,0,0,0,0.0,399.0,140.4848484848485
GWK60_A01177,EPA10,ORF,CP048230.1,152581,156771,W,4191,3,806,0.0007158196134574087,0.14883082796468625,0.05675781752521273,1922,0.45860176568837985,0.45860176568837985,-14.427756056195818,0,0,0,0,0.0,1397.0,207.91666666666666
GWK60_A01199,PGD1,ORF,CP048230.1,157478,158917,W,1440,0,0,0.0,0.0,0.0,1440,1.0,0.999995881428255,-24.0841809194736,0,0,0,0,0.0,9999,261.0344827586207
GWK60_A01221,EPA9,ORF,CP048230.1,161505,165887,W,4383,4,1903,0.0009126169290440338,0.3115674195756331,0.3701540763219065,2191,0.4998859228838695,0.4998859228838695,-13.189363156165657,1,0,0,0,0.0,1095.75,341.4
GWK60_A01243,GWK60_A01243,ORF,CP048230.1,166594,168033,W,1440,1,1241,0.0006944444444444445,0.21820652173913044,0.6800162408559887,1209,0.8395833333333333,0.8395798754491391,-13.805731461253117,0,0,0,0,0.0,1440.0,314.2173913043478
GWK60_A01265,TRP5,ORF,CP048230.1,168514,170637,W,2124,6,3518,0.002824858757062147,0.7599811676082862,1.0995286015981045,1469,0.6916195856873822,0.6916195826391963,-12.303231120723934,1,0,0,0,0.0,354.0,269.03333333333336
GWK60_A01287,CWH41,ORF,CP048230.1,170951,173395,W,2445,0,0,0.0,0.0,0.0,2445,1.0,0.9999999998221356,-24.0841809194736,0,0,0,0,0.0,9999,186.25
GWK60_A01309,GWK60_A01309,ORF,CP048230.1,174356,176077,W,1722,2,87,0.0011614401858304297,0.17559774119908686,0.016672302752617173,1497,0.8693379790940766,0.8693377656782948,-17.6247493008363,0,0,0,0,0.0,861.0,151.18965517241378
GWK60_A01353,GWK60_A01353,ORF,CP048230.1,177006,177486,C,318,0,0,0.0,0.0,0.0,318,1.0,0.7649478037637647,-24.0841809194736,0,0,0,0,0.0,9999,139.01724137931035
GWK60_A01375,GWK60_A01375,ORF,CP048230.1,178790,179257,W,468,0,0,0.0,0.0,0.0,468,1.0,0.935836123594826,-24.0841809194736,0,0,0,0,0.0,9999,149.1320754716981
GWK60_A01397,GWK60_A01397,ORF,CP048230.1,179925,180182,W,258,2,97,0.007751937984496124,1.1560626005557992,0.11712355804543127,102,0.3953488372093023,0.25344525366725323,-17.469471075358392,0,0,0,0,0.0,129.0,149.1320754716981
GWK60_A01419,GWK60_A01419,ORF,CP048230.1,180310,181059,C,648,3,5039,0.004629629629629629,0.6301608986035215,2.148264036509198,342,0.5277777777777778,0.5218632855523607,-11.78497290108632,0,0,0,0,0.0,250.0,136.11475409836066
